,id,env,algo,policy,weight_init,bias_init,activation_fn,policy_net_scaling,performance,trials,peak_perf
2,ef985d6e-11ba-11ed-8e97-0be9c977d31b,BipedalWalker-v3,A2C,ActorCriticPolicy,sparse,random_uniform,ReLU,0.01,-15.392880476842103,-76.41014648000001 -38.19205769999999 -10.35060958 -39.462771020000005 -4.95072158 -5.61463062 -5.616259179999999 -20.51455626 -4.28688814 -2.1941399400000003 -2.3600549999999996 -23.10553928 -3.39417936 -2.1547596199999997 -10.65522566 -11.35813186 -0.6703387199999999 -0.9267490400000004 -30.24697002 ,-0.6703387199999999
3,773421c2-11bb-11ed-91bb-d7e7aeaa61ab,BipedalWalker-v3,A2C,ActorCriticPolicy,lecun_normal,random_uniform,Tanh,0.01,160.03428553052632,-4.749365839999996 60.958442579999996 100.47693862000001 122.24744792000001 130.59904186 148.75744242000002 177.23892078 171.30331314 174.44714666 176.320653 190.3288262 207.37544932 213.03745378000002 218.22016306 210.31488238000003 213.30401862 219.47711410000002 113.73854888000001 197.2549876 ,219.4771141
4,cf042a5e-11e4-11ed-922a-7f36048cf9ed,BipedalWalker-v3,A2C,ActorCriticPolicy,sparse,random_uniform,Tanh,0.01,2.899889201052628,-73.52660284 -53.437832900000004 -40.99760196 -64.76867444 -12.6820329 -37.19732586 -6.03394636 -56.12095516000001 24.574269039999997 19.9168888 26.791589379999998 16.85539169999999 45.717137480000005 49.84704606 33.87700312 44.3043202 47.10415393999999 44.03485606 46.84021146 ,49.84704606
5,a28668e8-11e4-11ed-8af3-1bfd282dd745,BipedalWalker-v3,A2C,ActorCriticPolicy,lecun_normal,random_uniform,ReLU,0.01,-27.81057180842105,-24.4588036 -10.65840038 -9.52306188 -12.656635040000001 -9.810090319999999 -9.595163920000001 -35.808013040000006 -38.34698008 -28.965825259999995 -25.7937195 -28.99701526 -43.407992639999996 -28.00387604 -32.18252431999999 -42.66576275999999 -32.897397700000006 -35.37211386 -35.4534155 -43.804073259999996 ,-9.52306188
6,0fd7e886-11fe-11ed-922a-7f36048cf9ed,BipedalWalker-v3,A2C,ActorCriticPolicy,sparse,random_uniform,Sigmoid,0.01,-40.66567633157895,-70.93939754 -66.61851229999999 -64.59393324 -20.46683686 -31.718743299999993 -46.35200822 -45.74503824 -61.42563094 -41.58534508000001 -25.34076192 -31.768559279999998 -21.152062380000004 -41.12141952 -44.8968132 -42.1460081 -26.490934120000002 -22.586473700000003 -23.26301798 -44.43635438 ,-20.46683686
7,41d775c2-11fe-11ed-8af3-1bfd282dd745,BipedalWalker-v3,A2C,ActorCriticPolicy,lecun_normal,random_uniform,LeakyReLU,0.01,23.409723996842096,-33.7062143 36.040535959999985 17.853790480000004 3.2131288400000018 40.231052940000005 40.87998184 40.01810006 8.152267320000004 40.312163000000005 37.654175939999995 38.83827039999999 -6.849026240000001 42.873968119999994 44.87799406 20.956710920000013 12.175690219999998 43.07491134 45.28392084000001 -27.0966658 ,45.28392084000001
8,483ab70e-1216-11ed-922a-7f36048cf9ed,BipedalWalker-v3,A2C,ActorCriticPolicy,orthogonal,random_uniform,LeakyReLU,0.01,70.77563870526316,-42.723304 16.251507479999994 39.22158282 33.579026060000004 46.72445679999999 74.80783463999998 84.94435250000001 71.40487440000001 59.038891599999985 87.31065867999999 92.79622404000001 90.31491893999998 96.15810918000001 104.69627408 94.01472036 94.42943852 96.49802728 100.93462759999998 104.33491442000002 ,104.69627408
9,5021126e-1217-11ed-8af3-1bfd282dd745,BipedalWalker-v3,A2C,ActorCriticPolicy,lecun_normal,random_uniform,Sigmoid,0.01,-24.832591076842107,-91.80563914000001 -54.95621566 -38.65069946 -36.201413439999996 -32.53240122 -33.265845420000005 -12.770039360000002 -14.075790039999998 -23.869867579999998 -12.20759922 -11.180717179999998 -10.745602960000001 -9.89261396 -10.710061700000002 -11.96091874 -9.5441937 -22.98944458 -7.460835700000001 -26.9993314 ,-7.460835700000001
10,c6f13fda-1245-11ed-b226-3fbaaaa577bb,BipedalWalker-v3,A2C,ActorCriticPolicy,lecun_normal,random_uniform,Tanh,0.01,99.7709439505263,-71.08081150000001 8.573842480000003 -11.675105820000002 20.05517974 6.776942100000001 91.69854796 27.646252939999993 105.24640575999999 62.60149256000001 115.04417411999998 135.39429062 162.33375484 130.74895643999997 144.00205280000003 111.37933731999999 171.86931862 178.55708316 242.25292039999994 264.22330051999995 ,264.22330051999995
11,c73259ca-1245-11ed-8bd9-e7eff2065844,BipedalWalker-v3,A2C,ActorCriticPolicy,orthogonal,random_uniform,ReLU,0.01,-10.060665052631578,-67.77634662 -14.098944139999997 -15.106854559999999 -12.825898380000002 -7.658659219999999 -6.160589439999998 -5.838788860000001 -12.656585719999999 -2.306439960000002 -2.929097620000001 -1.4858302600000006 -15.44127654 -1.2462002399999992 -0.625344219999999 -5.459249879999999 -5.3799458399999995 0.1579747199999991 -0.16683607999999966 -14.14772314 ,0.1579747199999991
12,f909129a-125e-11ed-b226-3fbaaaa577bb,BipedalWalker-v3,A2C,ActorCriticPolicy,lecun_normal,random_uniform,ReLU,0.01,30.60450331789473,-26.492087879999996 18.569084119999996 14.472863159999998 29.04923926 33.28400384 43.57243744 44.28671858 29.449127240000006 44.292480779999984 44.309352919999995 41.84142644 20.690094600000002 45.40229909999999 40.69836698000002 35.85574656000001 32.183010780000004 41.631380920000005 36.604229860000004 11.78578834 ,45.40229909999999
13,4f6064b2-1260-11ed-8bd9-e7eff2065844,BipedalWalker-v3,A2C,ActorCriticPolicy,orthogonal,random_uniform,Tanh,0.01,148.54600720421053,-6.630819980000001 -13.127016340000003 -20.68509766 78.85827334000001 128.79494328 128.39993209999997 197.05334933999998 177.63534606000002 195.88180782 123.22025421999999 220.88471734 164.67056357999996 198.05460437999994 230.08393364 196.08289756 216.3245746 217.37139278000004 211.74043549999996 177.76004531999996 ,230.08393364
14,21cc4b70-1278-11ed-b226-3fbaaaa577bb,BipedalWalker-v3,A2C,ActorCriticPolicy,lecun_normal,random_uniform,LeakyReLU,0.01,63.47003792631578,-9.391293080000002 63.692466360000004 85.74268318 38.62409632 64.83168126000001 -33.49497668 85.07382088 68.91102561999999 58.839554320000005 89.47089131999999 93.56373400000001 46.47847188000001 80.2967418 73.51597118 61.721333920000006 79.63678566000002 93.44826356 89.06991153999999 75.89955755999999 ,93.563734
15,7feeaf3a-1279-11ed-8bd9-e7eff2065844,BipedalWalker-v3,A2C,ActorCriticPolicy,orthogonal,random_uniform,Sigmoid,0.01,-29.76362923789474,-95.11772383999998 -54.05648486 -35.08492932 -40.8104174 -22.71550722 -22.912040179999998 -25.93911948 -17.14266274 -17.516883619999998 -33.34676892 -39.0734245 -9.74640866 -9.772437119999998 -12.067472719999998 -30.211146859999996 -27.350164420000006 -24.176978060000003 -24.21750828 -24.250877319999994 ,-9.74640866
